Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.4893447028001382,0.4527703505822581,0.5356057693731511,1.228848214475737,0.4796353348247182,0
0.0526033388420612,0.2463603585247978,0.1436154165941838,0.0160780080864607,0.2142242031916366,0
0.0764958056432054,0.0141756437210595,0.0066942227095693,0.0240028171838361,0.0077135607094186,0
0.0547533442620924,0.0121219419121026,0.0397917242679223,0.0007924157049014,0.0121452211380392,0
0.005904096352918,0.0012635915673348,0.0070940666259976,0.0002649899886376,0.0008589043017559,0
0.0001388899656241,3.155450335405804e-05,0.0001153783733468,0.0002780742466288,5.5629051937898215e-05,0
4.022477234714361e-05,3.747915992232208e-05,2.9803329057019818e-05,0.000144603667852,3.1568994239984965e-05,0
-2.987648297998139e-06,7.669765063854586e-05,4.569553678077389e-05,4.477085671548541e-05,6.779068467592307e-05,1
1.4667454590350584e-05,4.90738246956635e-06,-3.245713647609871e-06,1.6435644904642944e-05,4.956516575904983e-06,2
2.5049495032727823e-05,5.7149519024219695e-06,-4.403075874969071e-06,4.316721697125193e-06,-1.395186560286532e-06,3
-8.86175054788229e-06,7.767266147649596e-06,4.92795184757009e-06,-1.517302848050555e-06,-3.525293982186567e-07,5
-8.673617379884035e-19,7.806255641895632e-19,0.0,-3.4694469519536144e-19,7.37257477290143e-19,5
